origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-03-18,ARI incidence,2026-03-15,1,BG,median,,813.55
2026-03-18,ARI incidence,2026-03-22,2,BG,median,,762.4417
2026-03-18,ARI incidence,2026-03-29,3,BG,median,,703.7729
2026-03-18,ARI incidence,2026-04-05,4,BG,median,,593.3449
2026-03-18,ARI incidence,2026-03-15,1,CY,median,,8818.241
2026-03-18,ARI incidence,2026-03-22,2,CY,median,,9068.103
2026-03-18,ARI incidence,2026-03-29,3,CY,median,,9277.052
2026-03-18,ARI incidence,2026-04-05,4,CY,median,,9096.976
2026-03-18,ARI incidence,2026-03-15,1,CZ,median,,968.1274
2026-03-18,ARI incidence,2026-03-22,2,CZ,median,,935.2713
2026-03-18,ARI incidence,2026-03-29,3,CZ,median,,888.82385
2026-03-18,ARI incidence,2026-04-05,4,CZ,median,,829.75806
2026-03-18,ARI incidence,2026-03-15,1,DE,median,,1262.8317
2026-03-18,ARI incidence,2026-03-22,2,DE,median,,1187.7705
2026-03-18,ARI incidence,2026-03-29,3,DE,median,,1121.4874
2026-03-18,ARI incidence,2026-04-05,4,DE,median,,1028.2253
2026-03-18,ARI incidence,2026-03-15,1,EE,median,,233.96564
2026-03-18,ARI incidence,2026-03-22,2,EE,median,,229.93889
2026-03-18,ARI incidence,2026-03-29,3,EE,median,,223.36835
2026-03-18,ARI incidence,2026-04-05,4,EE,median,,215.9667
2026-03-18,ARI incidence,2026-03-15,1,ES,median,,442.91476
2026-03-18,ARI incidence,2026-03-22,2,ES,median,,427.54895
2026-03-18,ARI incidence,2026-03-29,3,ES,median,,413.98798
2026-03-18,ARI incidence,2026-04-05,4,ES,median,,401.3236
2026-03-18,ARI incidence,2026-03-15,1,FI,median,,2988.4026
2026-03-18,ARI incidence,2026-03-22,2,FI,median,,2882.7007
2026-03-18,ARI incidence,2026-03-29,3,FI,median,,2769.7932
2026-03-18,ARI incidence,2026-04-05,4,FI,median,,2673.5947
2026-03-18,ARI incidence,2026-03-15,1,FR,median,,97.372665
2026-03-18,ARI incidence,2026-03-22,2,FR,median,,98.738525
2026-03-18,ARI incidence,2026-03-29,3,FR,median,,99.15233
2026-03-18,ARI incidence,2026-04-05,4,FR,median,,95.087
2026-03-18,ARI incidence,2026-03-15,1,HU,median,,2096.9207
2026-03-18,ARI incidence,2026-03-22,2,HU,median,,1936.2526
2026-03-18,ARI incidence,2026-03-29,3,HU,median,,1691.4303
2026-03-18,ARI incidence,2026-04-05,4,HU,median,,1385.5076
2026-03-18,ARI incidence,2026-03-15,1,IE,median,,58.442627
2026-03-18,ARI incidence,2026-03-22,2,IE,median,,56.188168
2026-03-18,ARI incidence,2026-03-29,3,IE,median,,53.429245
2026-03-18,ARI incidence,2026-04-05,4,IE,median,,50.69696
2026-03-18,ARI incidence,2026-03-15,1,IS,median,,64.19871
2026-03-18,ARI incidence,2026-03-22,2,IS,median,,62.465237
2026-03-18,ARI incidence,2026-03-29,3,IS,median,,61.4708
2026-03-18,ARI incidence,2026-04-05,4,IS,median,,59.59799
2026-03-18,ARI incidence,2026-03-15,1,IT,median,,854.068
2026-03-18,ARI incidence,2026-03-22,2,IT,median,,846.4369
2026-03-18,ARI incidence,2026-03-29,3,IT,median,,825.3558
2026-03-18,ARI incidence,2026-04-05,4,IT,median,,802.4877
2026-03-18,ARI incidence,2026-03-15,1,LT,median,,708.7421
2026-03-18,ARI incidence,2026-03-22,2,LT,median,,713.5842
2026-03-18,ARI incidence,2026-03-29,3,LT,median,,692.5643
2026-03-18,ARI incidence,2026-04-05,4,LT,median,,632.09753
2026-03-18,ARI incidence,2026-03-15,1,LU,median,,12887.016
2026-03-18,ARI incidence,2026-03-22,2,LU,median,,12823.532
2026-03-18,ARI incidence,2026-03-29,3,LU,median,,12648.165
2026-03-18,ARI incidence,2026-04-05,4,LU,median,,12149.981
2026-03-18,ARI incidence,2026-03-15,1,LV,median,,1340.4047
2026-03-18,ARI incidence,2026-03-22,2,LV,median,,1288.418
2026-03-18,ARI incidence,2026-03-29,3,LV,median,,1190.4463
2026-03-18,ARI incidence,2026-04-05,4,LV,median,,1127.6812
2026-03-18,ARI incidence,2026-03-15,1,NL,median,,149.29126
2026-03-18,ARI incidence,2026-03-22,2,NL,median,,147.15877
2026-03-18,ARI incidence,2026-03-29,3,NL,median,,142.60782
2026-03-18,ARI incidence,2026-04-05,4,NL,median,,142.22522
2026-03-18,ARI incidence,2026-03-15,1,PT,median,,25.002659
2026-03-18,ARI incidence,2026-03-22,2,PT,median,,24.964962
2026-03-18,ARI incidence,2026-03-29,3,PT,median,,24.98838
2026-03-18,ARI incidence,2026-04-05,4,PT,median,,25.023727
2026-03-18,ARI incidence,2026-03-15,1,RO,median,,841.3433
2026-03-18,ARI incidence,2026-03-22,2,RO,median,,829.4535
2026-03-18,ARI incidence,2026-03-29,3,RO,median,,794.9096
2026-03-18,ARI incidence,2026-04-05,4,RO,median,,736.05206
2026-03-18,ARI incidence,2026-03-15,1,SI,median,,1336.6573
2026-03-18,ARI incidence,2026-03-22,2,SI,median,,1281.5596
2026-03-18,ARI incidence,2026-03-29,3,SI,median,,1205.9006
2026-03-18,ARI incidence,2026-04-05,4,SI,median,,1089.3737
2026-03-18,ARI incidence,2026-03-15,1,SK,median,,1424.9858
2026-03-18,ARI incidence,2026-03-22,2,SK,median,,1378.6241
2026-03-18,ARI incidence,2026-03-29,3,SK,median,,1318.3475
2026-03-18,ARI incidence,2026-04-05,4,SK,median,,1229.6675
2026-03-18,ARI incidence,2026-03-15,1,GB-ENG,median,,261.01398
2026-03-18,ARI incidence,2026-03-22,2,GB-ENG,median,,248.6599
2026-03-18,ARI incidence,2026-03-29,3,GB-ENG,median,,236.92053
2026-03-18,ARI incidence,2026-04-05,4,GB-ENG,median,,228.34616
2026-03-18,ARI incidence,2026-03-15,1,GB-NIR,median,,184.1084
