origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.01,2651.387098534972
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.01,2358.8183780604413
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.01,2099.1745539031
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.01,1880.9283423981983
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.01,1699.7134947716936
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.01,1563.342932112348
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.025,2669.1644532133228
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.025,2379.4017436050663
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.025,2115.7578265457623
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.025,1902.1902021997264
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.025,1723.915628681841
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.025,1585.2148266518138
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.05,2712.626666309045
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.05,2414.871331272763
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.05,2137.703984612276
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.05,1921.648101198968
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.05,1744.924784659867
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.05,1613.5440799915734
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.1,2756.8761257896704
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.1,2460.9934242878167
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.1,2180.7079027761424
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.1,1946.1836415177256
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.1,1773.3295291775385
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.1,1651.667926820235
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.15,2795.1701114423818
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.15,2494.5465062327035
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.15,2205.379008486244
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.15,1970.4639882591453
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.15,1794.9664887627057
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.15,1675.5008939067982
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.2,2832.368280157726
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.2,2521.253482836667
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.2,2226.4200353313336
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.2,1990.1400630323865
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.2,1818.1958730215829
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.2,1700.3478352936067
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.25,2853.7672176779265
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.25,2545.9016608062893
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.25,2250.6901900911507
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.25,2007.5604171050072
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.25,1834.0447052038653
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.25,1718.0511124555192
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.3,2880.454935570099
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.3,2577.234450597428
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.3,2273.2591556993098
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.3,2023.138887152109
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.3,1849.5569210825715
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.3,1734.5044090060037
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.35,2900.329230730877
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.35,2603.2314630002534
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.35,2290.5939373613683
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.35,2040.62393348856
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.35,1864.142351714228
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.35,1749.9356044640456
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.4,2925.3777386411166
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.4,2623.061972918704
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.4,2311.37788797351
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.4,2056.2876836945884
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.4,1877.4916607378457
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.4,1763.1735758318682
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.45,2950.921609651853
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.45,2646.495112460209
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.45,2331.357861688316
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.45,2075.202651209024
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.45,1892.816659838835
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.45,1774.8741250926398
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.5,2978.754929418719
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.5,2669.1756477410586
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.5,2349.140321213485
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.5,2090.362948011605
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.5,1905.99680654555
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.5,1786.1523509161866
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.55,3001.255403437151
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.55,2686.8955266747166
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.55,2370.172757238223
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.55,2109.7932855903414
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.55,1923.365122065936
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.55,1797.083511170756
2026-02-18,ILI incidence,2026-02-01,-1,AT,quantile,0.6,3025.112987851709
2026-02-18,ILI incidence,2026-02-08,0,AT,quantile,0.6,2704.9662615555967
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.6,2387.921005604277
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.6,2129.424140698197
