origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.01,1624.048417993372
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.025,1652.7014496023191
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.05,1674.4206038992627
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.1,1701.26782028419
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.15,1720.3593664358818
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.2,1734.9796957990586
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.25,1751.5292322290543
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.3,1762.5040958788188
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.35,1773.1418482667157
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.4,1784.6242171332951
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.45,1795.2767264025788
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.5,1803.627582339308
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.55,1812.3028132146733
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.6,1819.987649204084
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.65,1826.639505527739
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.7,1835.1965460736967
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.75,1843.8464675974344
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.8,1851.7892833310527
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.85,1859.762846758519
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.9,1868.5348804568853
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.95,1883.861765639141
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.975,1894.9935548772569
2026-04-01,ILI incidence,-1,2026-03-15,AT,quantile,0.99,1909.867091421238
2026-04-01,ILI incidence,0,2026-03-22,AT,quantile,0.01,1559.189378785237
2026-04-01,ILI incidence,0,2026-03-22,AT,quantile,0.025,1583.5820600482834
2026-04-01,ILI incidence,0,2026-03-22,AT,quantile,0.05,1612.01883319616
2026-04-01,ILI incidence,0,2026-03-22,AT,quantile,0.1,1641.8173560740831
