origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.01,20.90
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.01,10.70
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.01,5.20
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.01,2.40
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.025,21.50
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.025,11.25
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.025,5.70
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.025,2.71
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.05,22.20
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.05,11.80
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.05,6.10
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.05,3.10
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.1,29.00
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.1,16.40
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.1,8.90
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.1,4.64
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.15,30.55
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.15,17.36
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.15,9.50
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.15,5.10
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.2,31.96
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.2,18.00
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.2,10.00
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.2,5.40
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.25,34.00
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.25,19.20
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.25,10.50
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.25,5.70
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.3,36.51
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.3,20.70
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.3,11.50
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.3,6.30
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.35,39.60
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.35,24.20
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.35,14.40
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.35,8.24
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.4,40.77
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.4,25.00
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.4,14.88
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.4,8.56
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.45,41.70
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.45,25.52
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.45,15.20
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.45,8.90
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.5,42.50
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.5,26.00
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.5,15.50
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.5,9.12
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.55,43.16
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.55,26.40
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.55,15.76
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.55,9.30
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.6,43.80
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.6,26.75
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.6,16.08
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.6,9.50
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.65,44.24
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.65,27.04
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.65,16.30
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.65,9.60
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.7,44.60
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.7,27.50
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.7,16.56
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.7,9.76
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.75,45.05
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.75,27.81
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.75,16.80
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.75,9.92
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.8,45.60
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.8,28.16
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.8,16.97
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.8,10.08
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.85,46.17
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.85,28.40
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.85,17.20
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.85,10.24
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.9,46.80
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.9,28.88
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.9,17.52
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.9,10.40
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.95,47.40
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.95,29.36
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.95,17.90
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.95,10.70
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.975,47.90
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.975,29.70
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.975,18.16
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.975,10.98
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.99,48.30
2026-03-25,ILI incidence,2026-03-29,2,BE,quantile,0.99,30.00
2026-03-25,ILI incidence,2026-04-05,3,BE,quantile,0.99,18.40
2026-03-25,ILI incidence,2026-04-12,4,BE,quantile,0.99,11.20
2026-03-25,ILI incidence,2026-03-22,1,CZ,quantile,0.01,2.88
2026-03-25,ILI incidence,2026-03-29,2,CZ,quantile,0.01,1.52
2026-03-25,ILI incidence,2026-04-05,3,CZ,quantile,0.01,0.80
2026-03-25,ILI incidence,2026-04-12,4,CZ,quantile,0.01,0.40
2026-03-25,ILI incidence,2026-03-22,1,CZ,quantile,0.025,3.07
2026-03-25,ILI incidence,2026-03-29,2,CZ,quantile,0.025,1.68
2026-03-25,ILI incidence,2026-04-05,3,CZ,quantile,0.025,0.88
2026-03-25,ILI incidence,2026-04-12,4,CZ,quantile,0.025,0.40
2026-03-25,ILI incidence,2026-03-22,1,CZ,quantile,0.05,3.28
2026-03-25,ILI incidence,2026-03-29,2,CZ,quantile,0.05,1.84
2026-03-25,ILI incidence,2026-04-05,3,CZ,quantile,0.05,0.96
2026-03-25,ILI incidence,2026-04-12,4,CZ,quantile,0.05,0.48
2026-03-25,ILI incidence,2026-03-22,1,CZ,quantile,0.1,3.60
2026-03-25,ILI incidence,2026-03-29,2,CZ,quantile,0.1,2.00
2026-03-25,ILI incidence,2026-04-05,3,CZ,quantile,0.1,1.12
