origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.01,2572.4438846937223
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.025,2656.3414701987176
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.05,2731.6473155206677
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.1,2817.4136901259135
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.15,2865.8281061443954
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.2,2910.093207886503
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.25,2951.536702380538
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.3,2984.9421267757803
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.35,3014.764453535699
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.4,3043.0229918788705
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.45,3071.2608015054493
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.5,3101.289440744882
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.55,3128.330548523516
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.6,3159.742855866704
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.65,3186.9114981322514
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.7,3213.657444643295
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.75,3245.5266302150803
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.8,3287.6847482018175
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.85,3335.839582380914
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.9,3390.065862566703
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.95,3464.1037324585977
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.975,3541.4091908138307
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.99,3622.297993609257
2026-02-18,ILI incidence,2026-02-15,1,AT,median,,3101.289440744882
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.01,2760.678159521601
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.025,2928.6521830773954
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.05,3062.9620979584497
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.1,3225.636461321272
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.15,3327.5730656592787
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.2,3416.1621619908246
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.25,3498.5668075012354
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.3,3564.408291612906
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.35,3625.8446539879365
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.4,3684.4476637098323
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.45,3739.740130316616
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.5,3798.140531560168
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.55,3850.679054015727
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.6,3914.283334918102
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.65,3972.901881777647
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.7,4030.2878041480235
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.75,4096.146562672228
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.8,4175.9244524130645
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.85,4271.3102800214465
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.9,4383.206736226974
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.95,4542.750561097895
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.975,4683.878990677551
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.99,4856.2738177198635
2026-02-18,ILI incidence,2026-02-22,2,AT,median,,3798.140531560168
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.01,3270.7459729558823
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.025,3513.962490494934
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.05,3703.5348996526427
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.1,3952.058415587505
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.15,4109.78757007386
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.2,4240.735666200499
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.25,4360.311025865638
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.3,4458.928261886371
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.35,4554.7774367102975
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.4,4644.809087244359
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.45,4727.737794931703
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.5,4816.281581360342
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.55,4898.554637457
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.6,4992.04901619327
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.65,5079.473832738124
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.7,5164.969526033536
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.75,5261.968491463108
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.8,5386.639395983471
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.85,5532.306617201424
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.9,5694.319848170164
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.95,5936.673616491032
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.975,6142.643746803673
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.99,6383.682218717548
2026-02-18,ILI incidence,2026-03-01,3,AT,median,,4816.281581360342
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.01,3708.9449360066997
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.025,4044.468364792433
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.05,4315.610194191091
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.1,4649.869577335829
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.15,4864.346636616811
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.2,5036.671429885836
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.25,5193.72788782037
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.3,5325.224298558462
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.35,5451.95885426247
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.4,5572.978625915198
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.45,5683.336401278797
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.5,5801.364700305506
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.55,5912.024264997091
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.6,6033.859809646612
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.65,6152.232772634313
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.7,6270.790812278061
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.75,6400.809866435131
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.8,6562.891248325963
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.85,6752.011751987512
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.9,6968.961486566721
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.95,7301.324858805631
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.975,7578.263181055965
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.99,7903.989219977382
2026-02-18,ILI incidence,2026-03-08,4,AT,median,,5801.364700305506
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.01,528.1255877947006
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.025,543.9792818216986
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.05,556.2644991765744
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.1,569.2405642372337
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.15,579.0436259201189
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.2,586.8374971769921
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.25,592.704986433391
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.3,598.873486777311
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.35,604.4629323843593
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.4,609.2039875264352
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.45,614.380294245512
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.5,619.5195732317973
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.55,623.7445817986861
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.6,628.3910300183302
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.65,633.2360292309552
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.7,638.3559968041459
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.75,644.026616375562
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.8,650.2199265529886
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.85,657.9204679155218
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.9,668.1490866763999
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.95,681.4627529915616
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.975,693.0579522404452
2026-02-18,ILI incidence,2026-02-15,1,BE,quantile,0.99,709.6133086209844
2026-02-18,ILI incidence,2026-02-15,1,BE,median,,619.5195732317973
2026-02-18,ILI incidence,2026-02-22,2,BE,quantile,0.01,365.92523713698415
2026-02-18,ILI incidence,2026-02-22,2,BE,quantile,0.025,395.34497123653944
2026-02-18,ILI incidence,2026-02-22,2,BE,quantile,0.05,420.30043197063753
2026-02-18,ILI incidence,2026-02-22,2,BE,quantile,0.1,446.7561500409124
2026-02-18,ILI incidence,2026-02-22,2,BE,quantile,0.15,466.9686978685514
2026-02-18,ILI incidence,2026-02-22,2,BE,quantile,0.2,482.580288869583
2026-02-18,ILI incidence,2026-02-22,2,BE,quantile,0.25,494.14397368200974
2026-02-18,ILI incidence,2026-02-22,2,BE,quantile,0.3,505.70159372053087
