origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.01,1472.380645226958
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.025,1582.51087084287
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.05,1682.2587365258312
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.1,1803.254931765673
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.15,1888.6373397013358
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.2,1958.7110280730653
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.25,2020.4242098997247
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.3,2077.1231483012616
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.35,2130.7601411455257
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.4,2182.646145856056
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.45,2233.7762067202075
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.5,2285.0000000000005
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.55,2337.1323658094143
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.6,2391.04701757066
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.65,2447.783224833484
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.7,2508.7016584065514
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.75,2575.757728111406
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.8,2652.0588297987083
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.85,2743.2024007910622
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.9,2861.3208087650623
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.95,3043.6216996729754
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.975,3208.9404952046534
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.99,3409.846092903562
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.01,22.42808634521029
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.025,28.404455597569058
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.05,34.268136687493005
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.1,41.90337510809071
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.15,47.60726088707147
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.2,52.46932353253152
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.25,56.87856365056649
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.3,61.02944220883896
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.35,65.0403060019398
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.4,68.99486900667708
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.45,72.96078789969654
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.5,76.99999999999997
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.55,81.17613672622211
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.6,85.5616758276288
2026-03-25,ILI incidence,2026-03-22,1,BE,quantile,0.65,90.2470398102549
