target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-03-25,2026-03-22,0.01,1,quantile,1426.50131145212
ILI incidence,AT,2026-03-25,2026-03-22,0.025,1,quantile,1559.75033996584
ILI incidence,AT,2026-03-25,2026-03-22,0.05,1,quantile,1625.92206775356
ILI incidence,AT,2026-03-25,2026-03-22,0.1,1,quantile,1818.88508958505
ILI incidence,AT,2026-03-25,2026-03-22,0.15,1,quantile,1939.42138750897
ILI incidence,AT,2026-03-25,2026-03-22,0.2,1,quantile,2035.22567791651
ILI incidence,AT,2026-03-25,2026-03-22,0.25,1,quantile,2106.38455197095
ILI incidence,AT,2026-03-25,2026-03-22,0.3,1,quantile,2198.70324561768
ILI incidence,AT,2026-03-25,2026-03-22,0.35,1,quantile,2281.32991066785
ILI incidence,AT,2026-03-25,2026-03-22,0.4,1,quantile,2382.88485147143
ILI incidence,AT,2026-03-25,2026-03-22,0.45,1,quantile,2470.13288058702
ILI incidence,AT,2026-03-25,2026-03-22,0.5,1,quantile,2564.10024142061
ILI incidence,AT,2026-03-25,2026-03-22,0.55,1,quantile,2652.29733263894
ILI incidence,AT,2026-03-25,2026-03-22,0.6,1,quantile,2719.19782070932
ILI incidence,AT,2026-03-25,2026-03-22,0.65,1,quantile,2798.39602998875
ILI incidence,AT,2026-03-25,2026-03-22,0.7,1,quantile,2921.15473265144
ILI incidence,AT,2026-03-25,2026-03-22,0.75,1,quantile,3011.76303749801
ILI incidence,AT,2026-03-25,2026-03-22,0.8,1,quantile,3108.67646502475
ILI incidence,AT,2026-03-25,2026-03-22,0.85,1,quantile,3232.3471954854
ILI incidence,AT,2026-03-25,2026-03-22,0.9,1,quantile,3408.38249008533
ILI incidence,AT,2026-03-25,2026-03-22,0.95,1,quantile,3730.38464574122
ILI incidence,AT,2026-03-25,2026-03-22,0.975,1,quantile,3961.67698520385
ILI incidence,AT,2026-03-25,2026-03-22,0.99,1,quantile,4272.60615958256
ILI incidence,AT,2026-03-25,2026-03-29,0.01,2,quantile,1016.89963827336
ILI incidence,AT,2026-03-25,2026-03-29,0.025,2,quantile,1148.20838456252
ILI incidence,AT,2026-03-25,2026-03-29,0.05,2,quantile,1285.6391249111
ILI incidence,AT,2026-03-25,2026-03-29,0.1,2,quantile,1499.07070193037
ILI incidence,AT,2026-03-25,2026-03-29,0.15,2,quantile,1625.57523940866
ILI incidence,AT,2026-03-25,2026-03-29,0.2,2,quantile,1762.48349044829
ILI incidence,AT,2026-03-25,2026-03-29,0.25,2,quantile,1872.82933864646
ILI incidence,AT,2026-03-25,2026-03-29,0.3,2,quantile,1997.18171884332
ILI incidence,AT,2026-03-25,2026-03-29,0.35,2,quantile,2103.79089849768
ILI incidence,AT,2026-03-25,2026-03-29,0.4,2,quantile,2244.64731767114
ILI incidence,AT,2026-03-25,2026-03-29,0.45,2,quantile,2360.17440288752
ILI incidence,AT,2026-03-25,2026-03-29,0.5,2,quantile,2478.40725625307
ILI incidence,AT,2026-03-25,2026-03-29,0.55,2,quantile,2581.04282458057
