target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,AT,2026-03-25,2026-03-22,0.01,1,quantile,1560.80225003669
ILI incidence,AT,2026-03-25,2026-03-22,0.025,1,quantile,1660.89676024213
ILI incidence,AT,2026-03-25,2026-03-22,0.05,1,quantile,1782.230709599
ILI incidence,AT,2026-03-25,2026-03-22,0.1,1,quantile,1905.03566311523
ILI incidence,AT,2026-03-25,2026-03-22,0.15,1,quantile,1986.18086220475
ILI incidence,AT,2026-03-25,2026-03-22,0.2,1,quantile,2053.61886002639
ILI incidence,AT,2026-03-25,2026-03-22,0.25,1,quantile,2123.22300625386
ILI incidence,AT,2026-03-25,2026-03-22,0.3,1,quantile,2177.17788932368
ILI incidence,AT,2026-03-25,2026-03-22,0.35,1,quantile,2224.73056450969
ILI incidence,AT,2026-03-25,2026-03-22,0.4,1,quantile,2271.44485723958
ILI incidence,AT,2026-03-25,2026-03-22,0.45,1,quantile,2316.28402642553
ILI incidence,AT,2026-03-25,2026-03-22,0.5,1,quantile,2370.20273230843
ILI incidence,AT,2026-03-25,2026-03-22,0.55,1,quantile,2411.14055000348
ILI incidence,AT,2026-03-25,2026-03-22,0.6,1,quantile,2469.52664748237
ILI incidence,AT,2026-03-25,2026-03-22,0.65,1,quantile,2517.93123690751
ILI incidence,AT,2026-03-25,2026-03-22,0.7,1,quantile,2571.75958768112
ILI incidence,AT,2026-03-25,2026-03-22,0.75,1,quantile,2646.458901585
ILI incidence,AT,2026-03-25,2026-03-22,0.8,1,quantile,2726.56453484512
ILI incidence,AT,2026-03-25,2026-03-22,0.85,1,quantile,2811.10425097437
ILI incidence,AT,2026-03-25,2026-03-22,0.9,1,quantile,2927.09135982551
ILI incidence,AT,2026-03-25,2026-03-22,0.95,1,quantile,3075.50498163105
ILI incidence,AT,2026-03-25,2026-03-22,0.975,1,quantile,3197.15549763681
ILI incidence,AT,2026-03-25,2026-03-22,0.99,1,quantile,3336.62480182221
ILI incidence,AT,2026-03-25,2026-03-29,0.01,2,quantile,1133.6627349549
ILI incidence,AT,2026-03-25,2026-03-29,0.025,2,quantile,1274.62503456023
ILI incidence,AT,2026-03-25,2026-03-29,0.05,2,quantile,1392.88009520278
ILI incidence,AT,2026-03-25,2026-03-29,0.1,2,quantile,1550.40903447059
ILI incidence,AT,2026-03-25,2026-03-29,0.15,2,quantile,1643.57053578255
ILI incidence,AT,2026-03-25,2026-03-29,0.2,2,quantile,1742.34770310584
ILI incidence,AT,2026-03-25,2026-03-29,0.25,2,quantile,1811.4811590222
