target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-03-22,1,quantile,0.01,43.683564279343635,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.01,19.638924977143056,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.01,70.52040009906196,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.01,62.015802723294776,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.025,49.2911995374492,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.025,101.34421929750293,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.025,93.50622756696964,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.025,73.43884619797844,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.05,59.87939991300996,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.05,121.37785019827287,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.05,101.68303073780685,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.05,85.4778994819114,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.1,71.30487249503774,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.1,122.17839280869683,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.1,108.94019644185428,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.1,86.01798387365159,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.15,89.63701742996211,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.15,131.497272062543,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.15,112.65808265433016,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.15,88.87734859289621,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.2,93.27431505006997,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.2,139.26065434499844,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.2,117.2016771409943,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.2,91.7312031459443,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.25,102.66736273223778,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.25,149.74229299341226,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.25,122.02707912505605,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.25,105.75305012212016,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.3,113.32638311486933,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.3,152.8431233976486,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.3,122.99045705436245,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.3,109.52409475411464,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.35,116.40281316276055,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.35,153.89914194763688,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.35,123.76374221741432,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.35,112.98956566168485,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.4,119.50983226954715,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.4,157.4645052860762,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.4,128.01322868459496,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.4,115.77104594368389,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.45,120.60898880776028,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.45,160.7146894945119,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.45,129.65174095957312,2026-03-25
