target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-03-22,1,quantile,0.01,0.0,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.01,23.693236530188234,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.01,47.18721300301617,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.01,16.96003208792081,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.025,24.13097915520472,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.025,24.883171618340366,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.025,57.68471277954019,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.025,18.273781122652316,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.05,49.80940344824728,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.05,33.7459291364778,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.05,60.967604779137616,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.05,42.655878238291244,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.1,52.715174944681,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.1,44.8937728343307,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.1,74.65259910679156,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.1,45.71662717590005,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.15,56.5941642984656,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.15,52.42555782249625,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.15,77.57276246635058,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.15,48.55883407286069,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.2,59.45567978086231,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.2,58.81250967788991,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.2,79.70204387183162,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.2,52.76836847386803,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.25,61.01008728947586,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.25,60.92354141152357,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.25,80.7788121234718,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.25,55.59856496909093,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.3,62.24075695264628,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.3,61.769045537461636,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.3,82.14071920635948,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.3,59.20141325715403,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.35,63.595288163724895,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.35,64.00234299523645,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.35,84.6437173611915,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.35,60.90394758744857,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.4,64.63679164033921,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.4,66.01772473947096,2026-03-25
