target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,BE,2026-03-22,1,quantile,0.01,0.0,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.01,8.834117905900243,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.01,0.0,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.01,0.0,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.025,44.67444039376589,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.025,45.84969822385327,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.025,2.2370389673413773,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.025,0.0,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.05,75.17666987189163,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.05,74.97287121662123,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.05,49.752734778642534,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.05,0.0,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.1,128.96711299397967,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.1,105.50399453215104,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.1,88.13831261455914,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.1,17.20627376887874,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.15,146.38665416968144,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.15,142.85321012515763,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.15,117.617730592876,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.15,45.74942014331447,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.2,167.8163530263941,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.2,165.66295044503812,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.2,144.79541360060824,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.2,69.02155415280164,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.25,187.54073789787827,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.25,185.36142489945408,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.25,162.4850117779482,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.25,89.01187139378992,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.3,201.7979793412855,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.3,202.5936567474181,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.3,182.2708060901043,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.3,105.47931211493189,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.35,218.5971630401142,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.35,217.122240727462,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.35,198.10215299976718,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.35,123.9155662368745,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.4,230.10156480402284,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.4,235.11762380087544,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.4,212.84456961452656,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.4,140.70860661258146,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.45,245.30600586608944,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.45,247.3281761170916,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.45,228.70403111860927,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.45,159.2795327074856,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.5,257.47111886741163,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.5,262.2421204885078,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.5,245.30896745829338,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.5,175.71626635532564,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.55,271.94498828176523,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.55,276.6490558780118,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.55,259.80671272800583,2026-03-25
ILI incidence,BE,2026-04-12,4,quantile,0.55,190.69110822447365,2026-03-25
ILI incidence,BE,2026-03-22,1,quantile,0.6,287.0198114444375,2026-03-25
ILI incidence,BE,2026-03-29,2,quantile,0.6,294.60875253505645,2026-03-25
ILI incidence,BE,2026-04-05,3,quantile,0.6,272.64668675573364,2026-03-25
