origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.01,2220.1811091744967
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.01,2113.194556283732
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.01,2030.3897556883824
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.01,1965.2015677623976
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.025,2232.5425404482407
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.025,2126.643631016507
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.025,2044.536177116392
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.025,1979.8067941427369
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.05,2252.751602117971
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.05,2148.6308244617144
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.05,2067.6634264383893
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.05,2003.6841198410605
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.1,2291.8716734925792
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.1,2191.1929478774787
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.1,2112.432434468588
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.1,2049.905102329936
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.15,2329.5405773195057
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.15,2232.176220077203
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.15,2155.54072641846
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.15,2094.4115074304545
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.2,2366.038113182689
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.2,2271.8850593302
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.2,2197.3085049200563
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.2,2137.53392277232
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.25,2401.5967723460503
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.25,2310.5724130754807
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.25,2238.001832965999
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.25,2179.547040457591
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.3,2436.4148116966526
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.3,2348.453982200049
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.3,2277.8475957294745
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.3,2220.6851041311074
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.35,2470.6656795648173
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.35,2385.718476207289
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.35,2317.044287472384
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.35,2261.153045735907
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.4,2504.505081971809
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.4,2422.535301201553
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.4,2355.7700981588905
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.4,2301.134834396517
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.45,2538.076513407279
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.45,2459.060577301325
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.45,2394.189242876897
