origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.01,1383.5561275249224
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.01,1091.9625705716116
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.01,832.62542348635
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.01,618.6209947653058
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.025,1399.3919102528846
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.025,1108.4506824831926
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.025,851.7485491168108
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.025,638.3967283260936
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.05,1425.2860261954806
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.05,1126.8989760632403
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.05,873.4121258422792
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.05,658.0571474062541
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.1,1467.661542201837
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.1,1173.8296062586762
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.1,915.8381670794338
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.1,693.5021405875325
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.15,1500.0448122206435
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.15,1208.764029727177
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.15,944.5300756783926
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.15,721.1400497661645
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.2,1531.531150870077
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.2,1246.8536799687554
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.2,980.4677099766627
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.2,749.718226170858
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.25,1564.0625596258767
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.25,1288.030321367177
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.25,1024.052905782337
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.25,790.9005686294466
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.3,1594.3701948910423
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.3,1322.7747460303374
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.3,1080.1549038534695
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.3,857.5414615770692
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.35,1626.5065184819405
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.35,1363.6282036818648
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.35,1122.9601340478455
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.35,901.5508323907519
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.4,1672.9267982152178
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.4,1407.4214347170127
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.4,1157.9452962996995
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.4,941.7762420701679
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.45,1710.7697122801947
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.45,1445.852831409078
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.45,1198.626488601653
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.45,980.1831317067949
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.5,1752.7066630359818
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.5,1489.4034546090775
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.5,1239.2923504197997
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.5,1021.7160793503542
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.55,1800.7811627199433
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.55,1545.830329166997
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.55,1288.4124546286532
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.55,1059.753712890177
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.6,1856.1718955665176
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.6,1596.2618573266304
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.6,1340.7389187954252
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.6,1104.7994221824363
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.65,1917.8539538360687
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.65,1658.415505682744
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.65,1395.711390973249
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.65,1156.0163762427126
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.7,1977.5186881853977
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.7,1713.4820888935083
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.7,1447.0099364060661
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.7,1198.1331274306917
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.75,2024.3807772179143
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.75,1771.087832139356
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.75,1504.8700476337744
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.75,1260.7443120684761
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.8,2087.2407024969953
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.8,1848.7219914246348
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.8,1575.7254399863361
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.8,1321.4866128991912
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.85,2186.096125287844
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.85,1929.5256918959417
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.85,1660.5902286566247
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.85,1412.1534145420796
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.9,2331.759736828265
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.9,2124.75386332845
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.9,1884.5847564637252
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.9,1667.5618563921494
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.95,2498.0563665166487
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.95,2300.77913724528
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.95,2071.475588206547
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.95,1836.8250829552594
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.975,2543.8712337606457
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.975,2371.9764813223337
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.975,2167.473800384898
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.975,1935.8927547156372
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.99,2597.336355259644
