origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.01,1859.7623418315102
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.01,1519.6580019007904
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.01,1209.4795715500645
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.01,944.3401030887093
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.025,1893.4020535282161
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.025,1551.783642443306
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.025,1234.4309999224067
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.025,967.7869650399532
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.05,1949.817894839571
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.05,1613.5329977051292
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.05,1289.7711702536142
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.05,1000.6923038430995
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.1,2065.5133009895603
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.1,1699.1073858451155
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.1,1374.9117607881162
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.1,1071.270791567031
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.15,2157.585978444943
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.15,1792.1019852083132
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.15,1449.2117134163248
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.15,1140.6840139369315
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.2,2233.559592808139
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.2,1864.5424089727248
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.2,1515.2747979777705
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.2,1198.6114357933593
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.25,2315.576100096268
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.25,1938.9668379501165
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.25,1584.546496328984
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.25,1247.289810211119
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.3,2409.8868927321087
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.3,2019.3815301919833
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.3,1640.260619698113
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.3,1300.1509890023463
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.35,2477.484314356218
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.35,2082.317651895893
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.35,1701.5945944606303
2026-02-18,ILI incidence,2026-03-08,4,AT,quantile,0.35,1351.4870289747703
2026-02-18,ILI incidence,2026-02-15,1,AT,quantile,0.4,2538.0481704630356
2026-02-18,ILI incidence,2026-02-22,2,AT,quantile,0.4,2141.0728325179616
2026-02-18,ILI incidence,2026-03-01,3,AT,quantile,0.4,1759.0510143114914
