origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.01,1025.082742111131
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.025,1171.4511516364767
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.05,1313.929880536022
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.1,1499.8173457181083
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.15,1639.863223355964
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.2,1760.4296971325439
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.25,1870.9011394885938
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.3,1976.000253570472
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.35,2078.6506034093136
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.4,2180.9797301697313
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.45,2284.774206872611
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.5,2391.74245752469
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.55,2503.7165423546
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.6,2622.8632691587572
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.65,2751.970358893727
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.7,2894.9108415396126
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.75,3057.503650254434
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.8,3249.3235737205146
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.85,3488.1491177014987
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.9,3813.7323419305953
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.95,4353.008949669202
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.975,4882.11727106941
2026-03-25,ILI incidence,2026-03-22,1,AT,quantile,0.99,5578.683034393359
2026-03-25,ILI incidence,2026-03-22,1,AT,median,,2391.74245752469
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.01,1002.2753417815937
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.025,1149.9612749527855
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.05,1294.253859175533
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.1,1483.2047021040014
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.15,1626.026189934919
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.2,1749.2753945738334
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.25,1862.4267506802566
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.3,1970.260861030509
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.35,2075.747891895826
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.4,2181.059656513558
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.45,2288.030174287957
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.5,2398.423338227295
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.55,2514.14043838269
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.6,2637.439484843683
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.65,2771.2345974186314
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.7,2919.5837085509493
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.75,3088.5941329210277
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.8,3288.3294243170308
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.85,3537.500112441401
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.9,3878.0015608146214
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.95,4443.867942485393
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.975,5001.107787046083
2026-03-25,ILI incidence,2026-03-29,2,AT,quantile,0.99,5737.4370135184
2026-03-25,ILI incidence,2026-03-29,2,AT,median,,2398.423338227295
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.01,980.4696891535278
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.025,1129.3454051107472
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.05,1275.3272420560363
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.1,1467.1837359047488
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.15,1612.6683247140736
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.2,1738.5090380118334
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.25,1854.2619521188842
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.3,1964.7615651657336
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.35,2073.022452222717
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.4,2181.259423040256
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.45,2291.3532190708015
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.5,2405.122872908652
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.55,2524.5389227847327
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.6,2651.9509820920075
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.65,2790.4004852405005
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.7,2944.131994706631
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.75,3119.5443915464953
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.8,3327.196147891933
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.85,3586.7430267834106
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.9,3942.2580118908127
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.95,4535.005413633567
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.975,5120.821394909779
2026-03-25,ILI incidence,2026-04-05,3,AT,quantile,0.99,5897.732628745065
2026-03-25,ILI incidence,2026-04-05,3,AT,median,,2405.122872908652
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.01,959.5831827650018
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.025,1109.5324671759615
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.05,1257.089497640141
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.1,1451.706655941351
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.15,1599.7507086300006
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.2,1728.0988811603243
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.25,1846.381219273487
2026-03-25,ILI incidence,2026-04-12,4,AT,quantile,0.3,1959.4824728365118
