origin_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.010,55.900000000000546
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.025,1219.5000000000005
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.050,1557.7000000000003
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.100,1888.8000000000002
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.150,2018.0000000000005
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.200,2090.2000000000003
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.250,2189.0
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.300,2228.7
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.350,2373.0000000000005
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.400,2424.0
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.450,2518.3
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.500,2578.4
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.550,2645.3
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.600,2727.7
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.650,2790.6
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.700,2934.9000000000005
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.750,2964.9
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.800,3049.7
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.850,3129.8
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.900,3271.4000000000005
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.950,3553.3
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.975,3944.1
2026-03-25,ILI incidence,1,2026-03-22,AT,quantile,0.990,5107.7
2026-03-25,ILI incidence,1,2026-03-22,AT,median,,2578.4
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.010,0.0
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.025,433.95250000000004
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.050,997.5
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.100,1468.5300000000002
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.150,1708.1549999999997
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.200,1889.8
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.250,2030.1250000000002
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.300,2152.1000000000004
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.350,2257.455
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.400,2373.0
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.450,2471.7000000000003
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.500,2581.3
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.550,2676.045
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.600,2783.4
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.650,2898.6000000000004
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.700,3017.22
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.750,3145.6250000000005
2026-03-25,ILI incidence,2,2026-03-29,AT,quantile,0.800,3292.4
