"origin_date","target","target_end_date","horizon","location","output_type","output_type_id","value"
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.01",336.513634590222
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.025",377.095862339155
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.05",415.892149672725
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.1",465.600979018508
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.15",502.454021449672
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.2",533.813069335544
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.25",562.27160085201
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.3",589.118937768157
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.35",615.139988572393
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.4",640.893373614414
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.45",666.835825865763
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.5",693.392025048601
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.55",721.005803455115
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.6",750.191092926267
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.65",781.598513074748
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.7",816.121278026564
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.75",855.08942595083
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.8",900.675775884355
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.85",956.888550745052
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.9",1032.62776941431
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.95",1156.0509155543
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.975",1274.98747246551
2026-03-25,"ARI incidence",2026-03-22,1,"BG","quantile","0.99",1428.74597335846
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.01",442.100423059137
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.025",471.787345659434
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.05",498.909360933434
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.1",532.120013314688
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.15",555.767215058017
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.2",575.308507919465
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.25",592.619878353899
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.3",608.609516146325
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.35",623.811159913914
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.4",638.586979257174
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.45",653.215784992008
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.5",667.939807468458
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.55",682.995721553879
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.6",698.64184659695
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.65",715.190132960379
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.7",733.053911522699
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.75",752.832638082001
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.8",775.485813714846
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.85",802.752617126627
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.9",838.426624140442
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.95",894.237754060755
2026-03-25,"ARI incidence",2026-03-29,2,"BG","quantile","0.975",945.645512762555
