target,location,truth_date,year_week,value
ILI incidence,AT,2026-02-15,2026-W07,2531.9
ILI incidence,AT,2026-02-08,2026-W06,2736.7
ILI incidence,AT,2026-02-01,2026-W05,3187.5
ILI incidence,AT,2026-01-25,2026-W04,2568.7
ILI incidence,AT,2026-01-18,2026-W03,3343.5
ILI incidence,AT,2026-01-11,2026-W02,3432.0
ILI incidence,AT,2026-01-04,2026-W01,3227.9
ILI incidence,AT,2025-12-21,2025-W51,4412.6
ILI incidence,AT,2025-12-14,2025-W50,2751.0
ILI incidence,AT,2025-12-07,2025-W49,2597.5
ILI incidence,AT,2025-11-30,2025-W48,2719.9
ILI incidence,AT,2025-11-23,2025-W47,2357.8
ILI incidence,AT,2025-11-16,2025-W46,1850.3
ILI incidence,AT,2025-11-09,2025-W45,2049.7
ILI incidence,AT,2025-11-02,2025-W44,1710.9
ILI incidence,AT,2025-10-26,2025-W43,2493.3
ILI incidence,AT,2025-10-19,2025-W42,1645.4
ILI incidence,AT,2025-10-12,2025-W41,1547.5
ILI incidence,AT,2025-10-05,2025-W40,1909.1
ILI incidence,AT,2025-04-06,2025-W14,1724.4
ILI incidence,AT,2025-03-30,2025-W13,1894.2
ILI incidence,AT,2025-03-23,2025-W12,2082.4
ILI incidence,AT,2025-03-16,2025-W11,1706.2
ILI incidence,AT,2025-03-09,2025-W10,2059.3
ILI incidence,AT,2025-03-02,2025-W09,2547.7
ILI incidence,AT,2025-02-23,2025-W08,3240.7
ILI incidence,AT,2025-02-16,2025-W07,2817.1
ILI incidence,AT,2025-02-09,2025-W06,2375.8
ILI incidence,AT,2025-02-02,2025-W05,2843.7
ILI incidence,AT,2025-01-26,2025-W04,3369.6
ILI incidence,AT,2025-01-19,2025-W03,2453.8
ILI incidence,AT,2025-01-12,2025-W02,2561.5
ILI incidence,AT,2025-01-05,2025-W01,2308.8
ILI incidence,AT,2024-12-29,2024-W52,2063.8
ILI incidence,AT,2024-12-22,2024-W51,3426.1
ILI incidence,AT,2024-12-15,2024-W50,2223.6
ILI incidence,AT,2024-12-08,2024-W49,1908.7
ILI incidence,AT,2024-12-01,2024-W48,2054.6
ILI incidence,AT,2024-11-24,2024-W47,2850.8
ILI incidence,AT,2024-11-17,2024-W46,1968.2
ILI incidence,AT,2024-11-10,2024-W45,2008.9
ILI incidence,AT,2024-11-03,2024-W44,1685.2
ILI incidence,AT,2024-10-27,2024-W43,2302.5
ILI incidence,AT,2024-10-20,2024-W42,2670.8
ILI incidence,AT,2024-10-13,2024-W41,3234.6
ILI incidence,AT,2024-10-06,2024-W40,4098.5
ILI incidence,AT,2024-04-07,2024-W14,1512.6
ILI incidence,AT,2024-03-31,2024-W13,1629.1
ILI incidence,AT,2024-03-24,2024-W12,2179.8
ILI incidence,AT,2024-03-17,2024-W11,1798.0
ILI incidence,AT,2024-03-10,2024-W10,1790.0
ILI incidence,AT,2024-03-03,2024-W09,2338.0
ILI incidence,AT,2024-02-25,2024-W08,1945.2
ILI incidence,AT,2024-02-18,2024-W07,2634.8
ILI incidence,AT,2024-02-11,2024-W06,3595.8
ILI incidence,AT,2024-02-04,2024-W05,3161.0
ILI incidence,AT,2024-01-28,2024-W04,3180.1
ILI incidence,AT,2024-01-21,2024-W03,2156.0
ILI incidence,AT,2024-01-14,2024-W02,2343.0
ILI incidence,AT,2024-01-07,2024-W01,2420.4
ILI incidence,AT,2023-12-31,2023-W52,2238.3
ILI incidence,AT,2023-12-24,2023-W51,3209.8
ILI incidence,AT,2023-12-17,2023-W50,3242.5
ILI incidence,AT,2023-12-10,2023-W49,2834.0
ILI incidence,AT,2023-12-03,2023-W48,2395.5
ILI incidence,AT,2023-11-26,2023-W47,2778.6
ILI incidence,AT,2023-11-19,2023-W46,2184.9
ILI incidence,AT,2023-11-12,2023-W45,2248.4
ILI incidence,AT,2023-11-05,2023-W44,2090.6
ILI incidence,AT,2023-10-29,2023-W43,2094.0
ILI incidence,AT,2023-10-22,2023-W42,2114.8
ILI incidence,AT,2023-10-15,2023-W41,1968.7
ILI incidence,AT,2023-10-08,2023-W40,1467.7
ILI incidence,AT,2023-04-02,2023-W13,2285.2
ILI incidence,AT,2023-03-26,2023-W12,3255.0
ILI incidence,AT,2023-03-19,2023-W11,2899.8
ILI incidence,AT,2023-03-12,2023-W10,3172.8
ILI incidence,AT,2023-03-05,2023-W09,3298.5
ILI incidence,AT,2023-02-26,2023-W08,3132.7
ILI incidence,AT,2023-02-19,2023-W07,2468.5
ILI incidence,AT,2023-02-12,2023-W06,2160.4
ILI incidence,AT,2023-02-05,2023-W05,2072.4
ILI incidence,AT,2023-01-29,2023-W04,2140.1
ILI incidence,AT,2023-01-22,2023-W03,2410.6
ILI incidence,AT,2023-01-15,2023-W02,2853.9
ILI incidence,AT,2023-01-08,2023-W01,3043.3
ILI incidence,AT,2023-01-01,2022-W52,4391.2
