target,location,truth_date,year_week,value
ARI incidence,GB-ENG,2023-10-08,2023-W40,305.7211213772348
ARI incidence,GB-ENG,2023-10-15,2023-W41,305.06528994635335
ARI incidence,GB-ENG,2023-10-22,2023-W42,329.6817124437322
ARI incidence,GB-ENG,2023-11-05,2023-W44,343.6493184919642
ARI incidence,GB-ENG,2023-11-19,2023-W46,369.8249810419511
ARI incidence,GB-ENG,2023-11-26,2023-W47,348.3286531163553
ARI incidence,GB-ENG,2023-12-03,2023-W48,353.18376053316297
ARI incidence,GB-ENG,2023-12-31,2023-W52,276.73267273669865
ARI incidence,GB-ENG,2024-02-04,2024-W05,373.9777706521029
ARI incidence,GB-ENG,2024-02-18,2024-W07,332.4955133595391
ARI incidence,GB-ENG,2024-02-25,2024-W08,319.68336734139035
ARI incidence,GB-ENG,2024-03-10,2024-W10,332.3231112557003
ARI incidence,GB-ENG,2024-03-17,2024-W11,345.2769419353829
ARI incidence,GB-ENG,2024-03-24,2024-W12,346.7795944726546
ARI incidence,GB-ENG,2024-04-07,2024-W14,270.06609966038917
ARI incidence,GB-ENG,2024-04-14,2024-W15,279.05528534158395
ARI incidence,GB-ENG,2024-05-05,2024-W18,268.71490335485447
ARI incidence,GB-ENG,2024-05-12,2024-W19,239.06910435175163
ARI incidence,GB-ENG,2024-05-19,2024-W20,256.30195342005476
ARI incidence,GB-ENG,2024-10-06,2024-W40,245.1880387452078
ARI incidence,GB-ENG,2024-10-13,2024-W41,256.1684965949618
ARI incidence,GB-ENG,2024-10-20,2024-W42,269.63339329464276
ARI incidence,GB-ENG,2024-10-27,2024-W43,264.9365792155607
ARI incidence,GB-ENG,2024-11-03,2024-W44,253.27957294565277
ARI incidence,GB-ENG,2024-11-10,2024-W45,280.5805143936238
ARI incidence,GB-ENG,2024-12-01,2024-W48,347.49551569641864
ARI incidence,GB-ENG,2024-12-15,2024-W50,376.80742131714646
ARI incidence,GB-ENG,2024-12-22,2024-W51,414.7772428834349
ARI incidence,GB-ENG,2024-12-29,2024-W52,273.30494422659064
ARI incidence,GB-ENG,2025-01-12,2025-W02,359.5123362191557
ARI incidence,GB-ENG,2025-01-19,2025-W03,304.92520971439785
ARI incidence,GB-ENG,2025-02-02,2025-W05,312.99382314533983
ARI incidence,GB-ENG,2025-02-09,2025-W06,310.88666866305505
ARI incidence,GB-ENG,2025-02-16,2025-W07,302.1072589311713
ARI incidence,GB-ENG,2025-02-23,2025-W08,287.83748186556136
ARI incidence,GB-ENG,2025-03-02,2025-W09,280.7879321869801
ARI incidence,GB-ENG,2025-03-09,2025-W10,265.0740856513552
