target,location,truth_date,year_week,value
ILI incidence,CH,2023-07-30,2023-W30,7.1186352928994845
ILI incidence,CH,2023-08-20,2023-W33,17.589450868691912
ILI incidence,CH,2023-09-03,2023-W35,23.70272047974306
ILI incidence,CH,2023-09-24,2023-W38,28.139173039361737
ILI incidence,CH,2023-10-01,2023-W39,27.157549208298402
ILI incidence,CH,2023-10-08,2023-W40,31.82483610209408
ILI incidence,CH,2023-10-15,2023-W41,36.74167590227919
ILI incidence,CH,2023-10-22,2023-W42,48.47388945774602
ILI incidence,CH,2023-10-29,2023-W43,64.41112702219309
ILI incidence,CH,2023-11-05,2023-W44,50.92668376348193
ILI incidence,CH,2023-11-19,2023-W46,72.96811854512796
ILI incidence,CH,2023-12-03,2023-W48,89.91103539655498
ILI incidence,CH,2023-12-24,2023-W51,93.51284602750236
ILI incidence,CH,2024-01-14,2024-W02,106.9409208295885
ILI incidence,CH,2024-02-11,2024-W06,148.67854509122915
ILI incidence,CH,2024-02-18,2024-W07,87.23843936000397
ILI incidence,CH,2024-02-25,2024-W08,103.2365243703462
ILI incidence,CH,2024-03-10,2024-W10,71.13434465417129
ILI incidence,CH,2024-03-24,2024-W12,46.36525387874327
ILI incidence,CH,2024-04-07,2024-W14,46.07251345083126
ILI incidence,CH,2024-04-14,2024-W15,27.913792902918154
ILI incidence,CH,2024-04-21,2024-W16,31.725416520019234
ILI incidence,CH,2024-05-05,2024-W18,20.42716813361771
ILI incidence,CH,2024-05-19,2024-W20,21.048453540049195
ILI incidence,CH,2024-06-09,2024-W23,22.192262667620934
ILI incidence,CH,2024-06-16,2024-W24,23.32219050897904
ILI incidence,CH,2024-06-23,2024-W25,30.647380850795326
ILI incidence,CH,2024-06-30,2024-W26,16.40410336928566
ILI incidence,CH,2024-07-07,2024-W27,14.273734544221814
ILI incidence,CH,2024-07-14,2024-W28,20.61371613767672
ILI incidence,CH,2024-08-11,2024-W32,11.46164646551477
ILI incidence,CH,2024-08-25,2024-W34,22.417377951387916
ILI incidence,CH,2024-09-01,2024-W35,23.087405538724898
ILI incidence,CH,2024-09-22,2024-W38,33.13589860415027
ILI incidence,CH,2024-10-06,2024-W40,41.04024962128299
ILI incidence,CH,2024-10-13,2024-W41,40.91553080267722
ILI incidence,CH,2024-10-27,2024-W43,45.85393662242382
ILI incidence,CH,2024-11-03,2024-W44,45.66423904643702
ILI incidence,CH,2024-11-10,2024-W45,43.5417800567189
ILI incidence,CH,2024-11-24,2024-W47,60.26194596327892
ILI incidence,CH,2024-12-01,2024-W48,50.794940823893945
ILI incidence,CH,2024-12-08,2024-W49,67.28701073141556
ILI incidence,CH,2024-12-15,2024-W50,74.70335817654315
ILI incidence,CH,2025-01-05,2025-W01,141.80948908066932
ILI incidence,CH,2025-01-12,2025-W02,176.8390709019347
ILI incidence,CH,2025-01-19,2025-W03,199.16732305614943
ILI incidence,CH,2025-02-09,2025-W06,321.2593365994699
ILI incidence,CH,2025-02-16,2025-W07,234.48203182632523
ILI incidence,CH,2025-02-23,2025-W08,203.01273093385856
ILI incidence,CH,2025-03-02,2025-W09,139.16478033907703
ILI incidence,CH,2025-03-09,2025-W10,126.3354639222835
ILI incidence,CH,2025-03-16,2025-W11,91.44395175900205
ILI incidence,CH,2025-03-30,2025-W13,43.79510004124887
ILI incidence,CH,2025-04-13,2025-W15,29.66525106170372
ILI incidence,CH,2025-05-04,2025-W18,25.360352921748568
ILI incidence,CH,2025-05-18,2025-W20,14.091606280520523
ILI incidence,CH,2025-06-01,2025-W22,14.35602953240361
ILI incidence,CH,2025-06-08,2025-W23,19.772126245026076
ILI incidence,CH,2025-06-15,2025-W24,26.06464030796375
ILI incidence,CH,2025-07-13,2025-W28,13.34594428358391
ILI incidence,CH,2025-08-03,2025-W31,11.301421467677935
ILI incidence,CH,2025-08-17,2025-W33,8.753453510955493
ILI incidence,CH,2025-08-24,2025-W34,18.9801684354376
ILI incidence,CH,2025-09-07,2025-W36,17.38759759490263
ILI incidence,CH,2025-09-14,2025-W37,32.63804409103047
ILI incidence,CH,2025-09-21,2025-W38,31.668241426212997
ILI incidence,CH,2025-10-05,2025-W40,32.066344160331724
ILI incidence,CH,2025-10-12,2025-W41,24.647201109697242
ILI incidence,CH,2025-11-09,2025-W45,31.322187854821657
ILI incidence,CH,2025-12-21,2025-W51,201.62281780181954
ILI incidence,CH,2025-12-28,2025-W52,95.45337424749947
ILI incidence,CH,2026-01-04,2026-W01,106.25728536424839
ILI incidence,CH,2026-01-18,2026-W03,164.02079044986232
ILI incidence,CH,2026-02-01,2026-W05,161.10186594908473
ILI incidence,CH,2026-02-08,2026-W06,132.9844279524688
ILI incidence,GB-ENG,2023-10-08,2023-W40,3.506030313114478
ILI incidence,GB-ENG,2023-10-15,2023-W41,3.23764738888748
ILI incidence,GB-ENG,2023-10-22,2023-W42,3.5018371152663113
ILI incidence,GB-ENG,2023-11-05,2023-W44,3.308038195259563
ILI incidence,GB-ENG,2023-11-19,2023-W46,3.396232878085079
ILI incidence,GB-ENG,2023-11-26,2023-W47,3.8100488699218604
ILI incidence,GB-ENG,2023-12-03,2023-W48,4.618276281237817
ILI incidence,GB-ENG,2023-12-31,2023-W52,4.877002473992
ILI incidence,GB-ENG,2024-02-04,2024-W05,9.579475786973733
ILI incidence,GB-ENG,2024-02-18,2024-W07,7.6104579630385425
ILI incidence,GB-ENG,2024-02-25,2024-W08,6.6795067353123825
ILI incidence,GB-ENG,2024-03-10,2024-W10,5.336483856422901
ILI incidence,GB-ENG,2024-03-17,2024-W11,5.466156093164474
ILI incidence,GB-ENG,2024-03-24,2024-W12,4.910543936192183
ILI incidence,GB-ENG,2024-04-07,2024-W14,3.409054955574651
ILI incidence,GB-ENG,2024-04-14,2024-W15,3.2906380691427297
ILI incidence,GB-ENG,2024-05-05,2024-W18,2.8459682600324414
ILI incidence,GB-ENG,2024-05-12,2024-W19,2.242557651952436
ILI incidence,GB-ENG,2024-05-19,2024-W20,2.2958282517521544
ILI incidence,GB-ENG,2024-10-06,2024-W40,3.1735352173632725
ILI incidence,GB-ENG,2024-10-13,2024-W41,3.5687618869711124
ILI incidence,GB-ENG,2024-10-20,2024-W42,3.926980240744422
ILI incidence,GB-ENG,2024-10-27,2024-W43,3.769643537078847
ILI incidence,GB-ENG,2024-11-03,2024-W44,3.581192826951895
ILI incidence,GB-ENG,2024-11-10,2024-W45,3.786626931948449
ILI incidence,GB-ENG,2024-12-01,2024-W48,6.038064021340776
ILI incidence,GB-ENG,2024-12-15,2024-W50,12.136206958811725
ILI incidence,GB-ENG,2024-12-22,2024-W51,18.013498348152652
ILI incidence,GB-ENG,2024-12-29,2024-W52,13.924537199284115
ILI incidence,GB-ENG,2025-01-12,2025-W02,23.07145484249612
ILI incidence,GB-ENG,2025-01-19,2025-W03,16.9864989469991
ILI incidence,GB-ENG,2025-02-02,2025-W05,13.882156434658777
ILI incidence,GB-ENG,2025-02-09,2025-W06,12.626248877031552
ILI incidence,GB-ENG,2025-02-16,2025-W07,11.333034746224897
ILI incidence,GB-ENG,2025-02-23,2025-W08,10.057289991887638
ILI incidence,GB-ENG,2025-03-02,2025-W09,9.054026694957908
ILI incidence,GB-ENG,2025-03-09,2025-W10,7.773578182968008
ILI incidence,GB-ENG,2025-03-16,2025-W11,6.638600051159754
ILI incidence,GB-ENG,2025-03-23,2025-W12,6.171534512090988
ILI incidence,GB-ENG,2025-03-30,2025-W13,5.585449463620097
ILI incidence,GB-ENG,2025-04-20,2025-W16,2.4169245320725885
ILI incidence,GB-ENG,2025-04-27,2025-W17,2.1808905854713583
ILI incidence,GB-ENG,2025-05-04,2025-W18,1.9599943248986074
ILI incidence,GB-ENG,2025-05-11,2025-W19,1.5107554457068486
ILI incidence,GB-ENG,2025-05-18,2025-W20,1.7005038492875801
ILI incidence,GB-ENG,2025-10-05,2025-W40,4.181263174770301
ILI incidence,GB-ENG,2025-10-26,2025-W43,6.028474494529159
