target,location,truth_date,year_week,value,data_source
ARI incidence,BG,2026-02-15,2026-W07,1063.8,ERVISS
ARI incidence,BG,2026-02-08,2026-W06,1084.5,ERVISS
ARI incidence,BG,2026-02-01,2026-W05,1473.9,ERVISS
ARI incidence,BG,2026-01-25,2026-W04,1494.6,ERVISS
ARI incidence,BG,2026-01-18,2026-W03,1452.9,ERVISS
ARI incidence,BG,2026-01-11,2026-W02,1331.7,ERVISS
ARI incidence,BG,2026-01-04,2026-W01,661.4,ERVISS
ARI incidence,BG,2025-12-28,2025-W52,594.1,ERVISS
ARI incidence,BG,2025-12-21,2025-W51,1126.6,ERVISS
ARI incidence,BG,2025-12-14,2025-W50,1027.6,ERVISS
ARI incidence,BG,2025-12-07,2025-W49,979.3,ERVISS
ARI incidence,BG,2025-11-30,2025-W48,922.0,ERVISS
ARI incidence,BG,2025-11-23,2025-W47,890.1,ERVISS
ARI incidence,BG,2025-11-16,2025-W46,796.3,ERVISS
ARI incidence,BG,2025-11-09,2025-W45,838.1,ERVISS
ARI incidence,BG,2025-11-02,2025-W44,551.6,ERVISS
ARI incidence,BG,2025-10-26,2025-W43,636.5,ERVISS
ARI incidence,BG,2025-10-19,2025-W42,647.1,ERVISS
ARI incidence,BG,2025-10-12,2025-W41,582.6,ERVISS
ARI incidence,BG,2025-10-05,2025-W40,504.1,ERVISS
ARI incidence,BG,2025-09-28,2025-W39,426.9,ERVISS
ARI incidence,BG,2025-09-21,2025-W38,330.4,ERVISS
ARI incidence,BG,2025-09-14,2025-W37,269.5,ERVISS
ARI incidence,BG,2025-09-07,2025-W36,274.7,ERVISS
ARI incidence,BG,2025-08-31,2025-W35,264.0,ERVISS
ARI incidence,BG,2025-08-24,2025-W34,269.2,ERVISS
ARI incidence,BG,2025-08-17,2025-W33,237.5,ERVISS
ARI incidence,BG,2025-08-10,2025-W32,250.1,ERVISS
ARI incidence,BG,2025-08-03,2025-W31,239.5,ERVISS
ARI incidence,BG,2025-07-27,2025-W30,264.3,ERVISS
ARI incidence,BG,2025-07-20,2025-W29,253.6,ERVISS
ARI incidence,BG,2025-07-13,2025-W28,275.3,ERVISS
ARI incidence,BG,2025-07-06,2025-W27,242.4,ERVISS
ARI incidence,BG,2025-06-29,2025-W26,322.6,ERVISS
ARI incidence,BG,2025-06-22,2025-W25,326.1,ERVISS
ARI incidence,BG,2025-06-15,2025-W24,328.0,ERVISS
ARI incidence,BG,2025-06-08,2025-W23,359.0,ERVISS
ARI incidence,BG,2025-06-01,2025-W22,382.6,ERVISS
ARI incidence,BG,2025-05-25,2025-W21,412.6,ERVISS
ARI incidence,BG,2025-05-18,2025-W20,461.7,ERVISS
ARI incidence,BG,2025-05-11,2025-W19,418.4,ERVISS
ARI incidence,BG,2025-05-04,2025-W18,452.7,ERVISS
ARI incidence,BG,2025-04-27,2025-W17,492.0,ERVISS
ARI incidence,BG,2025-04-20,2025-W16,477.0,ERVISS
ARI incidence,BG,2025-04-13,2025-W15,589.2,ERVISS
ARI incidence,BG,2025-04-06,2025-W14,556.6,ERVISS
ARI incidence,BG,2025-03-30,2025-W13,765.1,ERVISS
ARI incidence,BG,2025-03-23,2025-W12,831.7,ERVISS
ARI incidence,BG,2025-03-16,2025-W11,953.2,ERVISS
ARI incidence,BG,2025-03-09,2025-W10,874.4,ERVISS
ARI incidence,BG,2025-03-02,2025-W09,1125.9,ERVISS
ARI incidence,BG,2025-02-23,2025-W08,1167.2,ERVISS
ARI incidence,BG,2025-02-16,2025-W07,1185.6,ERVISS
ARI incidence,BG,2025-02-09,2025-W06,1339.0,ERVISS
ARI incidence,BG,2025-02-02,2025-W05,1774.8,ERVISS
ARI incidence,BG,2025-01-26,2025-W04,1910.1,ERVISS
ARI incidence,BG,2025-01-19,2025-W03,1558.5,ERVISS
ARI incidence,BG,2025-01-12,2025-W02,1187.3,ERVISS
ARI incidence,BG,2025-01-05,2025-W01,773.2,ERVISS
ARI incidence,BG,2024-12-29,2024-W52,455.4,ERVISS
ARI incidence,BG,2024-12-22,2024-W51,1036.8,ERVISS
ARI incidence,BG,2024-12-15,2024-W50,1016.6,ERVISS
ARI incidence,BG,2024-12-08,2024-W49,974.2,ERVISS
ARI incidence,BG,2024-12-01,2024-W48,962.1,ERVISS
ARI incidence,BG,2024-11-24,2024-W47,1011.8,ERVISS
ARI incidence,BG,2024-11-17,2024-W46,988.0,ERVISS
ARI incidence,BG,2024-11-10,2024-W45,956.9,ERVISS
ARI incidence,BG,2024-11-03,2024-W44,585.9,ERVISS
ARI incidence,BG,2024-10-27,2024-W43,651.7,ERVISS
ARI incidence,BG,2024-10-20,2024-W42,659.6,ERVISS
ARI incidence,BG,2024-10-13,2024-W41,656.9,ERVISS
ARI incidence,BG,2024-10-06,2024-W40,644.8,ERVISS
ARI incidence,BG,2024-09-29,2024-W39,524.3,ERVISS
ARI incidence,BG,2024-09-22,2024-W38,436.5,ERVISS
ARI incidence,BG,2024-09-15,2024-W37,389.0,ERVISS
ARI incidence,BG,2024-09-08,2024-W36,313.8,ERVISS
ARI incidence,BG,2024-09-01,2024-W35,363.7,ERVISS
ARI incidence,BG,2024-08-25,2024-W34,366.5,ERVISS
ARI incidence,BG,2024-08-18,2024-W33,334.9,ERVISS
ARI incidence,BG,2024-08-11,2024-W32,320.6,ERVISS
ARI incidence,BG,2024-08-04,2024-W31,315.4,ERVISS
ARI incidence,BG,2024-07-28,2024-W30,308.5,ERVISS
ARI incidence,BG,2024-07-21,2024-W29,317.1,ERVISS
ARI incidence,BG,2024-07-14,2024-W28,322.5,ERVISS
ARI incidence,BG,2024-07-07,2024-W27,348.1,ERVISS
ARI incidence,BG,2024-06-30,2024-W26,360.1,ERVISS
ARI incidence,BG,2024-06-23,2024-W25,368.4,ERVISS
ARI incidence,BG,2024-06-16,2024-W24,436.7,ERVISS
ARI incidence,BG,2024-06-09,2024-W23,450.2,ERVISS
ARI incidence,BG,2024-06-02,2024-W22,501.2,ERVISS
ARI incidence,BG,2024-05-19,2024-W20,566.9,ERVISS
ARI incidence,BG,2024-05-12,2024-W19,511.7,ERVISS
ARI incidence,BG,2024-05-05,2024-W18,395.3,ERVISS
ARI incidence,BG,2024-04-28,2024-W17,630.5,ERVISS
ARI incidence,BG,2024-04-21,2024-W16,586.1,ERVISS
ARI incidence,BG,2024-04-14,2024-W15,574.8,ERVISS
ARI incidence,BG,2024-03-31,2024-W13,757.2,ERVISS
ARI incidence,BG,2024-03-24,2024-W12,863.8,ERVISS
ARI incidence,BG,2024-03-17,2024-W11,906.4,ERVISS
ARI incidence,BG,2024-03-10,2024-W10,724.8,ERVISS
ARI incidence,BG,2024-03-03,2024-W09,909.7,ERVISS
ARI incidence,BG,2024-02-25,2024-W08,989.3,ERVISS
ARI incidence,BG,2024-02-18,2024-W07,1141.7,ERVISS
ARI incidence,BG,2024-02-11,2024-W06,1322.2,ERVISS
ARI incidence,BG,2024-02-04,2024-W05,1771.5,ERVISS
ARI incidence,BG,2024-01-28,2024-W04,1972.0,ERVISS
ARI incidence,BG,2024-01-21,2024-W03,1593.8,ERVISS
ARI incidence,BG,2024-01-14,2024-W02,1488.9,ERVISS
ARI incidence,BG,2024-01-07,2024-W01,1178.5,ERVISS
ARI incidence,BG,2023-12-31,2023-W52,498.2,ERVISS
ARI incidence,BG,2023-12-24,2023-W51,1033.2,ERVISS
ARI incidence,BG,2023-12-17,2023-W50,1212.9,ERVISS
ARI incidence,BG,2023-12-10,2023-W49,1030.0,ERVISS
ARI incidence,BG,2023-12-03,2023-W48,996.8,ERVISS
ARI incidence,BG,2023-11-26,2023-W47,1011.8,ERVISS
ARI incidence,BG,2023-11-19,2023-W46,874.1,ERVISS
ARI incidence,BG,2023-11-12,2023-W45,852.4,ERVISS
ARI incidence,BG,2023-11-05,2023-W44,748.1,ERVISS
ARI incidence,BG,2023-10-29,2023-W43,581.4,ERVISS
ARI incidence,BG,2023-10-22,2023-W42,625.5,ERVISS
ARI incidence,BG,2023-10-15,2023-W41,632.2,ERVISS
ARI incidence,BG,2023-10-08,2023-W40,512.9,ERVISS
ARI incidence,BG,2023-10-01,2023-W39,429.4,ERVISS
ARI incidence,BG,2023-09-24,2023-W38,310.5,ERVISS
ARI incidence,BG,2023-09-17,2023-W37,252.9,ERVISS
ARI incidence,BG,2023-09-10,2023-W36,219.9,ERVISS
ARI incidence,BG,2023-09-03,2023-W35,215.7,ERVISS
ARI incidence,BG,2023-08-27,2023-W34,210.6,ERVISS
ARI incidence,BG,2023-08-20,2023-W33,204.4,ERVISS
ARI incidence,BG,2023-08-13,2023-W32,197.2,ERVISS
ARI incidence,BG,2023-08-06,2023-W31,187.5,ERVISS
ARI incidence,BG,2023-07-30,2023-W30,169.0,ERVISS
ARI incidence,BG,2023-07-23,2023-W29,191.5,ERVISS
ARI incidence,BG,2023-07-16,2023-W28,208.2,ERVISS
ARI incidence,BG,2023-07-09,2023-W27,234.4,ERVISS
ARI incidence,BG,2023-07-02,2023-W26,274.9,ERVISS
ARI incidence,BG,2023-06-25,2023-W25,293.6,ERVISS
