target,location,truth_date,year_week,value,data_source
ILI incidence,AT,2026-02-15,2026-W07,2531.9,ERVISS
ILI incidence,AT,2026-02-08,2026-W06,2736.7,ERVISS
ILI incidence,AT,2026-02-01,2026-W05,3187.5,ERVISS
ILI incidence,AT,2026-01-25,2026-W04,2568.7,ERVISS
ILI incidence,AT,2026-01-18,2026-W03,3343.5,ERVISS
ILI incidence,AT,2026-01-11,2026-W02,3432.0,ERVISS
ILI incidence,AT,2026-01-04,2026-W01,3227.9,ERVISS
ILI incidence,AT,2025-12-21,2025-W51,4412.6,ERVISS
ILI incidence,AT,2025-12-14,2025-W50,2751.0,ERVISS
ILI incidence,AT,2025-12-07,2025-W49,2597.5,ERVISS
ILI incidence,AT,2025-11-30,2025-W48,2719.9,ERVISS
ILI incidence,AT,2025-11-23,2025-W47,2357.8,ERVISS
ILI incidence,AT,2025-11-16,2025-W46,1850.3,ERVISS
ILI incidence,AT,2025-11-09,2025-W45,2049.7,ERVISS
ILI incidence,AT,2025-11-02,2025-W44,1710.9,ERVISS
ILI incidence,AT,2025-10-26,2025-W43,2493.3,ERVISS
ILI incidence,AT,2025-10-19,2025-W42,1645.4,ERVISS
ILI incidence,AT,2025-10-12,2025-W41,1547.5,ERVISS
ILI incidence,AT,2025-10-05,2025-W40,1909.1,ERVISS
ILI incidence,AT,2025-04-06,2025-W14,1724.4,ERVISS
ILI incidence,AT,2025-03-30,2025-W13,1894.2,ERVISS
ILI incidence,AT,2025-03-23,2025-W12,2082.4,ERVISS
ILI incidence,AT,2025-03-16,2025-W11,1706.2,ERVISS
ILI incidence,AT,2025-03-09,2025-W10,2059.3,ERVISS
ILI incidence,AT,2025-03-02,2025-W09,2547.7,ERVISS
ILI incidence,AT,2025-02-23,2025-W08,3240.7,ERVISS
ILI incidence,AT,2025-02-16,2025-W07,2817.1,ERVISS
ILI incidence,AT,2025-02-09,2025-W06,2375.8,ERVISS
ILI incidence,AT,2025-02-02,2025-W05,2843.7,ERVISS
ILI incidence,AT,2025-01-26,2025-W04,3369.6,ERVISS
ILI incidence,AT,2025-01-19,2025-W03,2453.8,ERVISS
ILI incidence,AT,2025-01-12,2025-W02,2561.5,ERVISS
ILI incidence,AT,2025-01-05,2025-W01,2308.8,ERVISS
ILI incidence,AT,2024-12-29,2024-W52,2063.8,ERVISS
ILI incidence,AT,2024-12-22,2024-W51,3426.1,ERVISS
ILI incidence,AT,2024-12-15,2024-W50,2223.6,ERVISS
ILI incidence,AT,2024-12-08,2024-W49,1908.7,ERVISS
ILI incidence,AT,2024-12-01,2024-W48,2054.6,ERVISS
ILI incidence,AT,2024-11-24,2024-W47,2850.8,ERVISS
ILI incidence,AT,2024-11-17,2024-W46,1968.2,ERVISS
ILI incidence,AT,2024-11-10,2024-W45,2008.9,ERVISS
ILI incidence,AT,2024-11-03,2024-W44,1685.2,ERVISS
ILI incidence,AT,2024-10-27,2024-W43,2302.5,ERVISS
ILI incidence,AT,2024-10-20,2024-W42,2670.8,ERVISS
ILI incidence,AT,2024-10-13,2024-W41,3234.6,ERVISS
ILI incidence,AT,2024-10-06,2024-W40,4098.5,ERVISS
ILI incidence,AT,2024-04-07,2024-W14,1512.6,ERVISS
ILI incidence,AT,2024-03-31,2024-W13,1629.1,ERVISS
ILI incidence,AT,2024-03-24,2024-W12,2179.8,ERVISS
ILI incidence,AT,2024-03-17,2024-W11,1798.0,ERVISS
ILI incidence,AT,2024-03-10,2024-W10,1790.0,ERVISS
ILI incidence,AT,2024-03-03,2024-W09,2338.0,ERVISS
ILI incidence,AT,2024-02-25,2024-W08,1945.2,ERVISS
ILI incidence,AT,2024-02-18,2024-W07,2634.8,ERVISS
ILI incidence,AT,2024-02-11,2024-W06,3595.8,ERVISS
ILI incidence,AT,2024-02-04,2024-W05,3161.0,ERVISS
ILI incidence,AT,2024-01-28,2024-W04,3180.1,ERVISS
ILI incidence,AT,2024-01-21,2024-W03,2156.0,ERVISS
ILI incidence,AT,2024-01-14,2024-W02,2343.0,ERVISS
ILI incidence,AT,2024-01-07,2024-W01,2420.4,ERVISS
ILI incidence,AT,2023-12-31,2023-W52,2238.3,ERVISS
ILI incidence,AT,2023-12-24,2023-W51,3209.8,ERVISS
ILI incidence,AT,2023-12-17,2023-W50,3242.5,ERVISS
ILI incidence,AT,2023-12-10,2023-W49,2834.0,ERVISS
ILI incidence,AT,2023-12-03,2023-W48,2395.5,ERVISS
ILI incidence,AT,2023-11-26,2023-W47,2778.6,ERVISS
ILI incidence,AT,2023-11-19,2023-W46,2184.9,ERVISS
ILI incidence,AT,2023-11-12,2023-W45,2248.4,ERVISS
ILI incidence,AT,2023-11-05,2023-W44,2090.6,ERVISS
ILI incidence,AT,2023-10-29,2023-W43,2094.0,ERVISS
ILI incidence,AT,2023-10-22,2023-W42,2114.8,ERVISS
ILI incidence,AT,2023-10-15,2023-W41,1968.7,ERVISS
ILI incidence,AT,2023-10-08,2023-W40,1467.7,ERVISS
ILI incidence,AT,2023-04-02,2023-W13,2285.2,ERVISS
ILI incidence,AT,2023-03-26,2023-W12,3255.0,ERVISS
ILI incidence,AT,2023-03-19,2023-W11,2899.8,ERVISS
ILI incidence,AT,2023-03-12,2023-W10,3172.8,ERVISS
ILI incidence,AT,2023-03-05,2023-W09,3298.5,ERVISS
ILI incidence,AT,2023-02-26,2023-W08,3132.7,ERVISS
ILI incidence,AT,2023-02-19,2023-W07,2468.5,ERVISS
ILI incidence,AT,2023-02-12,2023-W06,2160.4,ERVISS
ILI incidence,AT,2023-02-05,2023-W05,2072.4,ERVISS
ILI incidence,AT,2023-01-29,2023-W04,2140.1,ERVISS
ILI incidence,AT,2023-01-22,2023-W03,2410.6,ERVISS
ILI incidence,AT,2023-01-15,2023-W02,2853.9,ERVISS
ILI incidence,AT,2023-01-08,2023-W01,3043.3,ERVISS
ILI incidence,AT,2023-01-01,2022-W52,4391.2,ERVISS
ILI incidence,AT,2022-12-25,2022-W51,5322.7,ERVISS
ILI incidence,AT,2022-12-18,2022-W50,5849.3,ERVISS
ILI incidence,AT,2022-12-11,2022-W49,4338.0,ERVISS
ILI incidence,AT,2022-12-04,2022-W48,4105.3,ERVISS
ILI incidence,AT,2022-11-27,2022-W47,3043.8,ERVISS
ILI incidence,AT,2022-11-20,2022-W46,2665.7,ERVISS
ILI incidence,AT,2022-11-13,2022-W45,2335.6,ERVISS
ILI incidence,AT,2022-11-06,2022-W44,1474.3,ERVISS
ILI incidence,AT,2022-10-30,2022-W43,1274.3,ERVISS
ILI incidence,AT,2022-10-23,2022-W42,1685.2,ERVISS
ILI incidence,AT,2022-10-16,2022-W41,1740.8,ERVISS
ILI incidence,AT,2022-10-09,2022-W40,1183.0,ERVISS
ILI incidence,AT,2022-04-17,2022-W15,540.7,ERVISS
ILI incidence,AT,2022-04-10,2022-W14,1207.7,ERVISS
ILI incidence,AT,2022-04-03,2022-W13,1044.6,ERVISS
ILI incidence,AT,2022-03-27,2022-W12,1387.2,ERVISS
ILI incidence,AT,2022-03-20,2022-W11,1264.3,ERVISS
ILI incidence,AT,2022-03-06,2022-W09,996.2,ERVISS
ILI incidence,AT,2022-02-27,2022-W08,757.8,ERVISS
ILI incidence,AT,2022-02-20,2022-W07,1042.0,ERVISS
ILI incidence,AT,2022-02-13,2022-W06,1054.1,ERVISS
ILI incidence,AT,2022-02-06,2022-W05,1260.2,ERVISS
ILI incidence,AT,2022-01-30,2022-W04,1128.0,ERVISS
ILI incidence,AT,2022-01-23,2022-W03,996.7,ERVISS
ILI incidence,AT,2022-01-16,2022-W02,1122.6,ERVISS
ILI incidence,AT,2022-01-09,2022-W01,1068.6,ERVISS
ILI incidence,AT,2022-01-02,2021-W52,662.3,ERVISS
ILI incidence,AT,2021-12-26,2021-W51,518.0,ERVISS
ILI incidence,AT,2021-12-19,2021-W50,1765.8,ERVISS
ILI incidence,AT,2021-12-12,2021-W49,735.2,ERVISS
ILI incidence,AT,2021-12-05,2021-W48,865.2,ERVISS
ILI incidence,AT,2021-11-28,2021-W47,1067.6,ERVISS
ILI incidence,AT,2021-11-21,2021-W46,1220.0,ERVISS
ILI incidence,AT,2021-11-14,2021-W45,1159.8,ERVISS
ILI incidence,AT,2021-11-07,2021-W44,1388.5,ERVISS
ILI incidence,AT,2021-10-31,2021-W43,1558.6,ERVISS
ILI incidence,AT,2021-10-24,2021-W42,1689.7,ERVISS
ILI incidence,AT,2021-10-17,2021-W41,1365.5,ERVISS
ILI incidence,AT,2021-10-10,2021-W40,711.3,ERVISS
ILI incidence,BE,2026-02-15,2026-W07,436.9,ERVISS
ILI incidence,BE,2026-02-08,2026-W06,594.7,ERVISS
ILI incidence,BE,2026-02-01,2026-W05,598.2,ERVISS
ILI incidence,BE,2026-01-25,2026-W04,660.6,ERVISS
ILI incidence,BE,2026-01-18,2026-W03,486.9,ERVISS
ILI incidence,BE,2026-01-11,2026-W02,379.7,ERVISS
ILI incidence,BE,2026-01-04,2026-W01,220.7,ERVISS
ILI incidence,BE,2025-12-28,2025-W52,44.5,ERVISS
ILI incidence,BE,2025-12-21,2025-W51,129.4,ERVISS
ILI incidence,BE,2025-12-14,2025-W50,136.4,ERVISS
ILI incidence,BE,2025-12-07,2025-W49,195.6,ERVISS
ILI incidence,BE,2025-11-30,2025-W48,95.2,ERVISS
ILI incidence,BE,2025-11-23,2025-W47,162.8,ERVISS
ILI incidence,BE,2025-11-16,2025-W46,82.8,ERVISS
ILI incidence,BE,2025-11-09,2025-W45,101.0,ERVISS
ILI incidence,BE,2025-11-02,2025-W44,81.5,ERVISS
ILI incidence,BE,2025-10-26,2025-W43,99.9,ERVISS
ILI incidence,BE,2025-10-19,2025-W42,145.1,ERVISS
ILI incidence,BE,2025-10-12,2025-W41,213.3,ERVISS
ILI incidence,BE,2025-10-05,2025-W40,216.5,ERVISS
ILI incidence,BE,2025-09-28,2025-W39,127.2,ERVISS
ILI incidence,BE,2025-09-21,2025-W38,145.5,ERVISS
ILI incidence,BE,2025-09-14,2025-W37,93.3,ERVISS
ILI incidence,BE,2025-09-07,2025-W36,81.1,ERVISS
ILI incidence,BE,2025-08-31,2025-W35,34.3,ERVISS
ILI incidence,BE,2025-08-24,2025-W34,68.2,ERVISS
ILI incidence,BE,2025-08-17,2025-W33,46.2,ERVISS
ILI incidence,BE,2025-08-10,2025-W32,55.2,ERVISS
ILI incidence,BE,2025-08-03,2025-W31,28.8,ERVISS
ILI incidence,BE,2025-07-27,2025-W30,29.4,ERVISS
ILI incidence,BE,2025-07-20,2025-W29,80.9,ERVISS
ILI incidence,BE,2025-07-13,2025-W28,34.6,ERVISS
ILI incidence,BE,2025-07-06,2025-W27,22.1,ERVISS
ILI incidence,BE,2025-06-29,2025-W26,48.1,ERVISS
ILI incidence,BE,2025-06-22,2025-W25,45.3,ERVISS
ILI incidence,BE,2025-06-15,2025-W24,38.0,ERVISS
ILI incidence,BE,2025-06-08,2025-W23,60.1,ERVISS
ILI incidence,BE,2025-06-01,2025-W22,30.6,ERVISS
ILI incidence,BE,2025-05-25,2025-W21,36.2,ERVISS
ILI incidence,BE,2025-05-18,2025-W20,57.8,ERVISS
ILI incidence,BE,2025-05-11,2025-W19,50.6,ERVISS
ILI incidence,BE,2025-05-04,2025-W18,36.0,ERVISS
ILI incidence,BE,2025-04-27,2025-W17,67.9,ERVISS
ILI incidence,BE,2025-04-20,2025-W16,29.7,ERVISS
ILI incidence,BE,2025-04-13,2025-W15,62.8,ERVISS
ILI incidence,BE,2025-04-06,2025-W14,103.3,ERVISS
ILI incidence,BE,2025-03-30,2025-W13,126.9,ERVISS
ILI incidence,BE,2025-03-23,2025-W12,162.2,ERVISS
ILI incidence,BE,2025-03-16,2025-W11,205.2,ERVISS
ILI incidence,BE,2025-03-09,2025-W10,288.0,ERVISS
ILI incidence,BE,2025-03-02,2025-W09,522.3,ERVISS
ILI incidence,BE,2025-02-23,2025-W08,739.7,ERVISS
ILI incidence,BE,2025-02-16,2025-W07,901.4,ERVISS
ILI incidence,BE,2025-02-09,2025-W06,863.1,ERVISS
ILI incidence,BE,2025-02-02,2025-W05,1241.2,ERVISS
ILI incidence,BE,2025-01-26,2025-W04,1249.0,ERVISS
ILI incidence,BE,2025-01-19,2025-W03,786.7,ERVISS
ILI incidence,BE,2025-01-12,2025-W02,673.9,ERVISS
ILI incidence,BE,2025-01-05,2025-W01,421.3,ERVISS
ILI incidence,BE,2024-12-29,2024-W52,356.0,ERVISS
ILI incidence,BE,2024-12-22,2024-W51,243.3,ERVISS
ILI incidence,BE,2024-12-15,2024-W50,258.3,ERVISS
ILI incidence,BE,2024-12-08,2024-W49,174.4,ERVISS
ILI incidence,BE,2024-12-01,2024-W48,122.7,ERVISS
ILI incidence,BE,2024-11-24,2024-W47,80.0,ERVISS
ILI incidence,BE,2024-11-17,2024-W46,70.2,ERVISS
ILI incidence,BE,2024-11-10,2024-W45,92.4,ERVISS
ILI incidence,BE,2024-11-03,2024-W44,48.6,ERVISS
ILI incidence,BE,2024-10-27,2024-W43,99.1,ERVISS
ILI incidence,BE,2024-10-20,2024-W42,157.7,ERVISS
ILI incidence,BE,2024-10-13,2024-W41,189.9,ERVISS
ILI incidence,BE,2024-10-06,2024-W40,188.5,ERVISS
ILI incidence,BE,2024-09-29,2024-W39,146.3,ERVISS
ILI incidence,BE,2024-09-22,2024-W38,162.8,ERVISS
ILI incidence,BE,2024-09-15,2024-W37,72.4,ERVISS
ILI incidence,BE,2024-09-08,2024-W36,60.4,ERVISS
ILI incidence,BE,2024-09-01,2024-W35,42.3,ERVISS
ILI incidence,BE,2024-08-25,2024-W34,44.6,ERVISS
ILI incidence,BE,2024-08-18,2024-W33,63.7,ERVISS
ILI incidence,BE,2024-08-11,2024-W32,44.7,ERVISS
ILI incidence,BE,2024-08-04,2024-W31,68.7,ERVISS
ILI incidence,BE,2024-07-28,2024-W30,62.3,ERVISS
ILI incidence,BE,2024-07-21,2024-W29,97.8,ERVISS
ILI incidence,BE,2024-07-14,2024-W28,54.5,ERVISS
ILI incidence,BE,2024-07-07,2024-W27,79.0,ERVISS
ILI incidence,BE,2024-06-30,2024-W26,84.2,ERVISS
ILI incidence,BE,2024-06-23,2024-W25,80.2,ERVISS
ILI incidence,BE,2024-06-16,2024-W24,57.3,ERVISS
ILI incidence,BE,2024-06-09,2024-W23,31.9,ERVISS
ILI incidence,BE,2024-06-02,2024-W22,22.1,ERVISS
ILI incidence,BE,2024-05-26,2024-W21,52.4,ERVISS
ILI incidence,BE,2024-05-19,2024-W20,32.4,ERVISS
ILI incidence,BE,2024-05-12,2024-W19,20.0,ERVISS
ILI incidence,BE,2024-05-05,2024-W18,35.5,ERVISS
ILI incidence,BE,2024-04-28,2024-W17,20.6,ERVISS
ILI incidence,BE,2024-04-21,2024-W16,55.4,ERVISS
ILI incidence,BE,2024-04-14,2024-W15,44.1,ERVISS
ILI incidence,BE,2024-04-07,2024-W14,97.6,ERVISS
ILI incidence,BE,2024-03-31,2024-W13,97.5,ERVISS
ILI incidence,BE,2024-03-24,2024-W12,77.5,ERVISS
ILI incidence,BE,2024-03-17,2024-W11,157.9,ERVISS
ILI incidence,BE,2024-03-10,2024-W10,128.8,ERVISS
ILI incidence,BE,2024-03-03,2024-W09,241.1,ERVISS
ILI incidence,BE,2024-02-25,2024-W08,339.3,ERVISS
ILI incidence,BE,2024-02-18,2024-W07,297.2,ERVISS
ILI incidence,BE,2024-02-11,2024-W06,581.0,ERVISS
ILI incidence,BE,2024-02-04,2024-W05,605.6,ERVISS
ILI incidence,BE,2024-01-28,2024-W04,648.2,ERVISS
ILI incidence,BE,2024-01-21,2024-W03,340.4,ERVISS
ILI incidence,BE,2024-01-14,2024-W02,304.4,ERVISS
ILI incidence,BE,2024-01-07,2024-W01,250.8,ERVISS
ILI incidence,BE,2023-12-31,2023-W52,225.0,ERVISS
ILI incidence,BE,2023-12-24,2023-W51,477.8,ERVISS
ILI incidence,BE,2023-12-17,2023-W50,399.9,ERVISS
ILI incidence,BE,2023-12-10,2023-W49,254.5,ERVISS
ILI incidence,BE,2023-12-03,2023-W48,241.8,ERVISS
ILI incidence,BE,2023-11-26,2023-W47,213.8,ERVISS
ILI incidence,BE,2023-11-19,2023-W46,179.8,ERVISS
ILI incidence,BE,2023-11-12,2023-W45,176.3,ERVISS
ILI incidence,BE,2023-11-05,2023-W44,153.0,ERVISS
ILI incidence,BE,2023-10-29,2023-W43,72.0,ERVISS
ILI incidence,BE,2023-10-22,2023-W42,150.1,ERVISS
ILI incidence,BE,2023-10-15,2023-W41,142.7,ERVISS
ILI incidence,BE,2023-10-08,2023-W40,146.3,ERVISS
ILI incidence,BE,2023-10-01,2023-W39,140.0,ERVISS
ILI incidence,BE,2023-09-24,2023-W38,144.0,ERVISS
ILI incidence,BE,2023-09-17,2023-W37,144.2,ERVISS
ILI incidence,BE,2023-09-10,2023-W36,136.6,ERVISS
ILI incidence,BE,2023-09-03,2023-W35,77.5,ERVISS
ILI incidence,BE,2023-08-27,2023-W34,82.9,ERVISS
ILI incidence,BE,2023-08-20,2023-W33,83.3,ERVISS
ILI incidence,BE,2023-08-13,2023-W32,86.8,ERVISS
ILI incidence,BE,2023-08-06,2023-W31,56.1,ERVISS
ILI incidence,BE,2023-07-30,2023-W30,34.7,ERVISS
ILI incidence,BE,2023-07-23,2023-W29,29.8,ERVISS
ILI incidence,BE,2023-07-16,2023-W28,11.7,ERVISS
ILI incidence,BE,2023-07-09,2023-W27,47.9,ERVISS
ILI incidence,BE,2023-07-02,2023-W26,26.8,ERVISS
ILI incidence,BE,2023-06-25,2023-W25,37.6,ERVISS
ILI incidence,BE,2023-06-18,2023-W24,31.9,ERVISS
ILI incidence,BE,2023-06-11,2023-W23,54.4,ERVISS
ILI incidence,BE,2023-06-04,2023-W22,41.6,ERVISS
ILI incidence,BE,2023-05-28,2023-W21,64.6,ERVISS
ILI incidence,BE,2023-05-21,2023-W20,40.8,ERVISS
ILI incidence,BE,2023-05-14,2023-W19,62.8,ERVISS
ILI incidence,BE,2023-05-07,2023-W18,45.2,ERVISS
ILI incidence,BE,2023-04-30,2023-W17,34.1,ERVISS
ILI incidence,BE,2023-04-23,2023-W16,93.9,ERVISS
ILI incidence,BE,2023-04-16,2023-W15,65.5,ERVISS
ILI incidence,BE,2023-04-09,2023-W14,118.8,ERVISS
ILI incidence,BE,2023-04-02,2023-W13,242.2,ERVISS
ILI incidence,BE,2023-03-26,2023-W12,291.6,ERVISS
ILI incidence,BE,2023-03-19,2023-W11,226.9,ERVISS
ILI incidence,BE,2023-03-12,2023-W10,313.9,ERVISS
ILI incidence,BE,2023-03-05,2023-W09,298.1,ERVISS
ILI incidence,BE,2023-02-26,2023-W08,299.9,ERVISS
ILI incidence,BE,2023-02-19,2023-W07,491.1,ERVISS
ILI incidence,BE,2023-02-12,2023-W06,465.3,ERVISS
ILI incidence,BE,2023-02-05,2023-W05,497.0,ERVISS
ILI incidence,BE,2023-01-29,2023-W04,335.1,ERVISS
ILI incidence,BE,2023-01-22,2023-W03,320.0,ERVISS
